
Page: 1/63 | Game: 1/63000 | Kept Games: 0\1 | Game Took: 00:00:00 | Page: Took: 00:00:09 | Total Elapsed: 00:00:13
Page: 1/63 | Game: 2/63000 | Kept Games: 0\2 | Game Took: 00:00:00 | Page: Took: 00:00:10 | Total Elapsed: 00:00:14
Page: 1/63 | Game: 3/63000 | Kept Games: 0\3 | Game Took: 00:00:00 | Page: Took: 00:00:11 | Total Elapsed: 00:00:14
Page: 1/63 | Game: 4/63000 | Kept Games: 0\4 | Game Took: 00:00:00 | Page: Took: 00:00:11 | Total Elapsed: 00:00:15
Page: 1/63 | Game: 5/63000 | Kept Games: 0\5 | Game Took: 00:00:00 | Page: Took: 00:00:12 | Total Elapsed: 00:00:16
Page: 1/63 | Game: 6/63000 | Kept Games: 0\6 | Game Took: 00:00:00 | Page: Took: 00:00:13 | Total Elapsed: 00:00:17
Page: 1/63 | Game: 7/63000 | Kept Games: 0\7 | Game Took: 00:00:00 | Page: Took: 00:00:14 | Total Elapsed: 00:00:17
Page: 1/63 | Game: 8/63000 | Kept Games: 0\8 | Game Took: 00:00:00 | Page: Took: 00:00:14 | Total Elapsed: 00:00:18
Page: 1/63 | Game: 9/63000 | Kept Games: 0\9 | Game Took: 00:00:00 | Page: Took: 00:00:15 | Total Elapsed: 00:00:19
Page: 1/63 | Game: 10/63000 | Kept Games: 0\10 | Game Took: 00:00:00 | Page: Took: 00:00:16 | Total Elapsed: 00:00:20
Page: 1/63 | Game: 11/63000 | Kept Games: 0\11 | Game Took: 00:00:00 | Page: Took: 00:00:17 | Total Elapsed: 00:00:21
Page: 1/63 | Game: 12/63000 | Kept Games: 0\12 | Game Took: 00:00:00 | Page: Took: 00:00:18 | Total Elapsed: 00:00:22
Page: 1/63 | Game: 13/63000 | Kept Games: 0\13 | Game Took: 00:00:00 | Page: Took: 00:00:19 | Total Elapsed: 00:00:22
Page: 1/63 | Game: 14/63000 | Kept Games: 0\14 | Game Took: 00:00:00 | Page: Took: 00:00:19 | Total Elapsed: 00:00:23
Page: 1/63 | Game: 15/63000 | Kept Games: 0\15 | Game Took: 00:00:00 | Page: Took: 00:00:20 | Total Elapsed: 00:00:24
Page: 1/63 | Game: 16/63000 | Kept Games: 0\16 | Game Took: 00:00:00 | Page: Took: 00:00:21 | Total Elapsed: 00:00:25
Page: 1/63 | Game: 17/63000 | Kept Games: 0\17 | Game Took: 00:00:00 | Page: Took: 00:00:22 | Total Elapsed: 00:00:26
Page: 1/63 | Game: 18/63000 | Kept Games: 0\18 | Game Took: 00:00:00 | Page: Took: 00:00:23 | Total Elapsed: 00:00:26
