
Page: 1/15 | Game: 1/150 | Kept Games: 0\1 | Game Took: 00:00:01 | Page: Took: 00:00:09 | Total Elapsed: 00:00:09
Page: 1/15 | Game: 2/150 | Kept Games: 0\2 | Game Took: 00:00:00 | Page: Took: 00:00:10 | Total Elapsed: 00:00:10
Page: 1/15 | Game: 3/150 | Kept Games: 0\3 | Game Took: 00:00:00 | Page: Took: 00:00:11 | Total Elapsed: 00:00:11
Page: 1/15 | Game: 4/150 | Kept Games: 0\4 | Game Took: 00:00:00 | Page: Took: 00:00:11 | Total Elapsed: 00:00:11
Page: 1/15 | Game: 5/150 | Kept Games: 0\5 | Game Took: 00:00:00 | Page: Took: 00:00:12 | Total Elapsed: 00:00:12
Page: 1/15 | Game: 6/150 | Kept Games: 0\6 | Game Took: 00:00:00 | Page: Took: 00:00:13 | Total Elapsed: 00:00:13
Page: 1/15 | Game: 7/150 | Kept Games: 0\7 | Game Took: 00:00:00 | Page: Took: 00:00:14 | Total Elapsed: 00:00:14
Page: 1/15 | Game: 8/150 | Kept Games: 0\8 | Game Took: 00:00:00 | Page: Took: 00:00:15 | Total Elapsed: 00:00:15
Page: 1/15 | Game: 9/150 | Kept Games: 0\9 | Game Took: 00:00:00 | Page: Took: 00:00:15 | Total Elapsed: 00:00:15
Page: 1/15 | Game: 10/150 | Kept Games: 0\10 | Game Took: 00:00:00 | Page: Took: 00:00:16 | Total Elapsed: 00:00:16
Page: 2/15 | Game: 11/150 | Kept Games: 0\11 | Game Took: 00:00:00 | Page: Took: 00:00:05 | Total Elapsed: 00:00:22
Page: 2/15 | Game: 12/150 | Kept Games: 0\12 | Game Took: 00:00:00 | Page: Took: 00:00:06 | Total Elapsed: 00:00:23
Page: 2/15 | Game: 13/150 | Kept Games: 0\13 | Game Took: 00:00:00 | Page: Took: 00:00:07 | Total Elapsed: 00:00:23
Page: 2/15 | Game: 14/150 | Kept Games: 0\14 | Game Took: 00:00:00 | Page: Took: 00:00:07 | Total Elapsed: 00:00:24
Page: 2/15 | Game: 15/150 | Kept Games: 0\15 | Game Took: 00:00:00 | Page: Took: 00:00:08 | Total Elapsed: 00:00:25
Page: 2/15 | Game: 16/150 | Kept Games: 0\16 | Game Took: 00:00:00 | Page: Took: 00:00:09 | Total Elapsed: 00:00:26
Page: 2/15 | Game: 17/150 | Kept Games: 0\17 | Game Took: 00:00:00 | Page: Took: 00:00:10 | Total Elapsed: 00:00:27
Page: 2/15 | Game: 18/150 | Kept Games: 0\18 | Game Took: 00:00:00 | Page: Took: 00:00:11 | Total Elapsed: 00:00:28
Page: 2/15 | Game: 19/150 | Kept Games: 0\19 | Game Took: 00:00:00 | Page: Took: 00:00:12 | Total Elapsed: 00:00:29
Page: 2/15 | Game: 20/150 | Kept Games: 0\20 | Game Took: 00:00:00 | Page: Took: 00:00:13 | Total Elapsed: 00:00:29
Page: 3/15 | Game: 21/150 | Kept Games: 0\21 | Game Took: 00:00:00 | Page: Took: 00:00:06 | Total Elapsed: 00:00:36
Page: 3/15 | Game: 22/150 | Kept Games: 0\22 | Game Took: 00:00:00 | Page: Took: 00:00:07 | Total Elapsed: 00:00:37
Page: 3/15 | Game: 23/150 | Kept Games: 0\23 | Game Took: 00:00:00 | Page: Took: 00:00:08 | Total Elapsed: 00:00:37
Page: 3/15 | Game: 24/150 | Kept Games: 0\24 | Game Took: 00:00:00 | Page: Took: 00:00:08 | Total Elapsed: 00:00:38
Page: 3/15 | Game: 25/150 | Kept Games: 0\25 | Game Took: 00:00:01 | Page: Took: 00:00:09 | Total Elapsed: 00:00:39
Page: 3/15 | Game: 26/150 | Kept Games: 0\26 | Game Took: 00:00:00 | Page: Took: 00:00:10 | Total Elapsed: 00:00:40
Page: 3/15 | Game: 27/150 | Kept Games: 1\27 | Game Took: 00:00:01 | Page: Took: 00:00:12 | Total Elapsed: 00:00:42
Page: 3/15 | Game: 28/150 | Kept Games: 1\28 | Game Took: 00:00:00 | Page: Took: 00:00:12 | Total Elapsed: 00:00:42
